
活动连接

  协议  本地地址          外部地址        状态
  TCP    192.168.0.249:1584     123.57.135.216:443     ESTABLISHED
  TCP    192.168.0.249:1605     172.172.255.216:443    ESTABLISHED
  TCP    192.168.0.249:1606     43.155.124.138:443     ESTABLISHED
  TCP    192.168.0.249:1610     207.194.199.114:443    CLOSE_WAIT
  TCP    192.168.0.249:1611     207.194.175.98:443     CLOSE_WAIT
  TCP    192.168.0.249:1615     207.194.199.112:443    CLOSE_WAIT
  TCP    192.168.0.249:1618     43.155.124.138:443     ESTABLISHED
  TCP    192.168.0.249:1620     207.194.175.80:443     CLOSE_WAIT
  TCP    192.168.0.249:1938     104.18.5.153:443       ESTABLISHED
  TCP    192.168.0.249:2248     43.130.30.247:80       ESTABLISHED
  TCP    192.168.0.249:3169     207.194.199.122:443    CLOSE_WAIT
  TCP    192.168.0.249:3485     172.65.184.197:443     ESTABLISHED
  TCP    192.168.0.249:3499     98.96.242.53:443       ESTABLISHED
  TCP    192.168.0.249:3500     98.96.213.145:443      ESTABLISHED
  TCP    192.168.0.249:3505     98.96.242.53:443       ESTABLISHED
  TCP    192.168.0.249:3602     43.155.124.138:443     ESTABLISHED
  TCP    192.168.0.249:4109     98.96.242.53:443       ESTABLISHED
  TCP    192.168.0.249:4147     121.30.176.91:443      ESTABLISHED
  TCP    192.168.0.249:4455     103.107.90.109:443     TIME_WAIT
  TCP    192.168.0.249:4466     98.96.242.53:443       TIME_WAIT
  TCP    192.168.0.249:4467     98.96.213.145:443      TIME_WAIT
  TCP    192.168.0.249:4468     98.96.213.145:443      TIME_WAIT
  TCP    192.168.0.249:4470     218.12.77.92:443       TIME_WAIT
  TCP    192.168.0.249:4473     98.96.242.53:443       TIME_WAIT
  TCP    192.168.0.249:4477     103.155.16.183:443     TIME_WAIT
  TCP    192.168.0.249:4478     113.96.133.42:443      TIME_WAIT
  TCP    192.168.0.249:4479     128.14.180.35:443      TIME_WAIT
  TCP    192.168.0.249:4483     222.73.33.15:443       LAST_ACK
  TCP    192.168.0.249:4519     125.72.129.62:443      TIME_WAIT
  TCP    192.168.0.249:4521     125.72.129.62:443      TIME_WAIT
  TCP    192.168.0.249:4551     43.130.30.247:80       TIME_WAIT
  TCP    192.168.0.249:4552     101.32.104.104:80      TIME_WAIT
  TCP    192.168.0.249:6223     104.18.5.153:443       ESTABLISHED
  TCP    192.168.0.249:6375     172.65.184.197:443     ESTABLISHED
  TCP    192.168.0.249:6389     104.18.129.224:80      CLOSE_WAIT
  TCP    192.168.0.249:6390     104.18.129.224:443     CLOSE_WAIT
  TCP    192.168.0.249:6970     172.64.148.235:443     ESTABLISHED
  TCP    192.168.0.249:6979     98.96.242.53:443       TIME_WAIT
  TCP    192.168.0.249:6980     98.96.242.53:443       TIME_WAIT
  TCP    192.168.0.249:6981     218.12.77.92:443       TIME_WAIT
  TCP    192.168.0.249:6984     98.96.213.145:443      TIME_WAIT
  TCP    192.168.0.249:6985     98.96.213.145:443      TIME_WAIT
  TCP    192.168.0.249:6988     8.45.176.206:443       ESTABLISHED
