lzc-recovery  | 2025-11-14T15:50:38.615541000Z 2025-11-14T23:50:38.615+0800	INFO	bridge	bridge/basic.go:56	[Usersession] LOGIN uid:"axy"  device_version:"v0.0.0-349-151-gbddb24c6"  virtual_ip:"fc03:1136:384b:6929:e733:4c5:4766:0"  peer_id:"12D3KooWDdRNdj8skkJ2TUvbHJ6J7eJSz86J5o6VRQN1qiaVEcdC"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/192.168.109.185/tcp/65173"
lzc-recovery  | 2025-11-14T15:51:05.871602000Z 2025-11-14T23:51:05.871+0800	INFO	bridge	bridge/basic.go:56	[Usersession] LOGIN uid:"axy"  device_version:"v0.0.0-349-151-gbddb24c6"  virtual_ip:"fc03:1136:384b:6929:e733:4c5:4766:0"  peer_id:"12D3KooWDdRNdj8skkJ2TUvbHJ6J7eJSz86J5o6VRQN1qiaVEcdC"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/192.168.2.185/tcp/65444"
hext          | 2025-11-16T05:09:46.454298000Z discovering nat...
lzc-recovery  | 2025-11-14T15:51:10.036060000Z 2025-11-14T23:51:10.035+0800	INFO	bridge	bridge/basic.go:58	[Usersession] LOGOUT uid:"axy"  device_version:"v0.0.0-349-151-gbddb24c6"  virtual_ip:"fc03:1136:384b:6929:e733:4c5:4766:0"  peer_id:"12D3KooWDdRNdj8skkJ2TUvbHJ6J7eJSz86J5o6VRQN1qiaVEcdC"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/192.168.2.185/tcp/65444"
hext          | 2025-11-16T05:09:51.484662000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:51:17.177088000Z 2025-11-14T23:51:17.175+0800	INFO	bridge	bridge/basic.go:58	[Usersession] LOGOUT uid:"axy"  device_version:"v0.0.0-349-151-gbddb24c6"  virtual_ip:"fc03:1136:384b:6929:e733:4c5:4766:0"  peer_id:"12D3KooWDdRNdj8skkJ2TUvbHJ6J7eJSz86J5o6VRQN1qiaVEcdC"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/192.168.109.185/tcp/65173"
hext          | 2025-11-16T06:08:51.484908000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:59:53.025100000Z 2025-11-14T23:59:53.024+0800	INFO	bridge	bridge/basic.go:58	[Usersession] LOGOUT uid:"axy"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:38a5:5f5f:1cd6:73bd:8922:0"  peer_id:"12D3KooWArYUgwHJwgDwugWCf32Szrx4UxsaibfUSD5UgRJ4t1h5"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/192.168.110.201/tcp/34166"
hext          | 2025-11-16T06:08:51.486194000Z discovering nat...
lzc-recovery  | 2025-11-14T16:03:03.148631000Z 2025-11-15T00:03:03.147+0800	INFO	bridge	bridge/basic.go:58	[Usersession] LOGOUT uid:"error"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:3894:4584:1502:b296:4135:0"  peer_id:"12D3KooWJRvhTfvZq4UxTzrg79hud1Zx13kyXdunadRXAssGt45y"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/114.66.59.177/tcp/4001/p2p/12D3KooWGDaCjwJPAfeLGLKwUFtr7hxVt1FeqvZxdGpVWaDYpWAM/p2p-circuit"
hext          | 2025-11-16T06:08:56.509453000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T16:03:03.148715000Z 2025-11-15T00:03:03.147+0800	INFO	bridge	bridge/basic.go:58	[Usersession] LOGOUT uid:"error"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:3894:4584:1502:b296:4135:0"  peer_id:"12D3KooWJRvhTfvZq4UxTzrg79hud1Zx13kyXdunadRXAssGt45y"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/114.66.59.177/tcp/4001/p2p/12D3KooWGDaCjwJPAfeLGLKwUFtr7hxVt1FeqvZxdGpVWaDYpWAM/p2p-circuit"
hext          | 2025-11-16T07:07:56.609175000Z time's up, re-establishing port mapping...
hext          | 2025-11-16T07:07:56.610904000Z discovering nat...
lzc-recovery  | 2025-11-14T16:03:15.234715000Z 2025-11-15T00:03:15.234+0800	INFO	bridge	bridge/basic.go:56	[Usersession] LOGIN uid:"error"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:3894:4584:1502:b296:4135:0"  peer_id:"12D3KooWJRvhTfvZq4UxTzrg79hud1Zx13kyXdunadRXAssGt45y"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/114.66.59.177/tcp/4001/p2p/12D3KooWGDaCjwJPAfeLGLKwUFtr7hxVt1FeqvZxdGpVWaDYpWAM/p2p-circuit"
hext          | 2025-11-16T07:08:01.638794000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T16:43:16.444224000Z 2025-11-15T00:43:16.444+0800	INFO	bridge	bridge/basic.go:56	[Usersession] LOGIN uid:"error"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:3894:4584:1502:b296:4135:0"  peer_id:"12D3KooWJRvhTfvZq4UxTzrg79hud1Zx13kyXdunadRXAssGt45y"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/14.212.31.171/tcp/9317/punchhole"
lzc-recovery  | 2025-11-14T16:44:14.719377000Z 2025-11-15T00:44:14.719+0800	INFO	bridge	bridge/basic.go:58	[Usersession] LOGOUT uid:"error"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:3894:4584:1502:b296:4135:0"  peer_id:"12D3KooWJRvhTfvZq4UxTzrg79hud1Zx13kyXdunadRXAssGt45y"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/114.66.59.177/tcp/4001/p2p/12D3KooWGDaCjwJPAfeLGLKwUFtr7hxVt1FeqvZxdGpVWaDYpWAM/p2p-circuit"
hext          | 2025-11-16T08:07:01.737569000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T16:47:47.714127000Z 2025-11-15T00:47:47.713+0800	INFO	bridge	bridge/basic.go:58	[Usersession] LOGOUT uid:"error"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:3894:4584:1502:b296:4135:0"  peer_id:"12D3KooWJRvhTfvZq4UxTzrg79hud1Zx13kyXdunadRXAssGt45y"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/14.212.31.171/tcp/9317/punchhole"
hext          | 2025-11-16T08:07:01.738330000Z discovering nat...
hext          | 2025-11-16T08:07:06.755287000Z failed to establish mapping: no nat discovered
